gene	Centro_apex_R1	Centro_apex_R2	Centro_apex_R3	NT_apex_R1	NT_apex_R2	NT_apex_R3	No_apex_R1	No_apex_R2	No_apex_R3
LINC01547	8	2	0	1	1	2	2	0	2
LINC01548	2	0	0	0	0	0	0	0	0
LINC01550	3	2	0	1	0	0	0	0	0
LINC01551	2	0	0	2	0	0	1	0	1
LINC01554	2	2	0	0	0	1	0	0	2
LINC01558	3	0	0	0	0	0	0	0	0
LINC01559	2	0	0	0	0	1	0	0	0
LINC01560	1	2	0	0	2	3	0	0	6
LINC01561	1	0	0	0	0	0	0	0	0
LINC01562	3	0	1	1	0	0	3	0	1
LINC01563	2	0	0	0	0	0	0	0	1
LINC01564	4	3	0	0	1	1	2	0	3
LINC01565	0	0	0	0	0	0	1	0	0
LINC01566	0	0	0	0	0	0	1	0	0
LINC01567	2	0	0	0	2	0	0	0	1
LINC01568	7	3	0	2	0	1	1	0	6
LINC01569	7	4	0	3	1	1	1	0	5
LINC01571	2	0	0	0	0	0	0	0	0
LINC01572	243	227	50	120	79	191	68	1	239
LINC01579	59	99	22	32	34	80	36	0	148
LINC01580	2	0	0	0	1	0	0	0	3
LINC01581	5	2	2	1	1	4	3	0	5
LINC01583	5	0	0	3	0	1	1	0	0
LINC01584	2	0	0	0	0	0	1	0	0
LINC01585	0	1	0	0	0	0	0	0	0
LINC01586	2	0	0	0	0	0	0	0	0
LINC01588	31	20	9	11	6	12	12	0	31
LINC01589	5	2	1	3	0	3	0	0	2
LINC01591	3	2	0	1	0	0	0	0	1
LINC01592	6	5	2	5	0	3	0	0	1
LINC01594	1	2	0	0	0	1	0	0	0
LINC01597	0	0	0	0	0	1	0	0	1
LINC01600	9	15	0	4	4	5	0	0	11
LINC01602	2	5	0	1	2	2	3	0	1
LINC01603	1	0	0	0	0	1	0	0	0
LINC01605	17	12	0	7	5	4	2	0	2
LINC01606	4	5	0	2	0	0	1	0	0
LINC01607	6	5	0	2	1	0	0	0	0
LINC01608	7	2	0	3	0	3	0	0	0
LINC01609	6	3	1	0	1	1	1	0	1
LINC01611	5	5	0	1	1	3	2	0	2
LINC01612	1	0	0	0	0	0	1	0	1
LINC01613	0	0	0	0	0	0	0	0	1
LINC01615	0	1	0	0	0	0	0	0	0
LINC01618	3	10	2	4	1	3	0	0	4
LINC01619	229	137	24	76	41	119	22	0	94
LINC01620	1	0	0	0	0	0	1	0	0
LINC01621	1	0	0	0	0	1	0	0	0
LINC01622	9	10	3	12	5	3	4	0	4
LINC01623	7	5	0	7	2	1	5	0	4
LINC01624	1	0	0	0	0	0	0	0	0
LINC01625	0	0	0	1	0	0	0	0	2
LINC01629	9	3	2	8	3	3	1	0	5
LINC01630	13	7	1	6	1	1	4	0	4
LINC01634	0	0	0	0	0	1	0	0	0
LINC01635	2	0	0	0	0	0	0	0	0
LINC01637	3	0	0	0	0	0	0	0	0
LINC01639	0	0	0	0	0	0	1	0	0
LINC01640	2	1	0	0	0	0	0	0	1
LINC01641	1	0	0	1	0	0	0	0	0
LINC01643	5	2	0	2	1	2	0	0	1
LINC01644	0	2	0	0	0	0	0	0	1
LINC01645	5	1	0	1	0	3	0	0	3
LINC01646	2	0	0	1	0	1	0	0	0
LINC01647	1	0	0	0	1	0	0	0	0
LINC01648	0	0	0	1	0	0	0	0	0
LINC01649	2	1	0	1	0	0	0	0	0
LINC01654	0	0	0	1	0	0	0	0	0
LINC01657	1	0	0	0	0	0	0	0	0
LINC01664	1	1	0	1	0	0	0	0	0
LINC01665	0	1	0	1	0	0	0	0	0
LINC01667	2	2	1	0	0	0	0	0	1
